ID,TRICHYEU,NGAYKY,CV_KHAN,ID_LOAICV
629247,"V/v lấy ý kiến dự án TTĐĐ đầu tư sản xuất kinh doanh tại xã Long Phước, huyện Long Thành, tỉnh Đồng Nai",2017-01-13T00:00:00,Thường,8
629248,Quyết định công  mức độ hoàn thành công vụ (hỏa tốc),2017-01-16T00:00:00,Thường,16
629249,V/v tham mưu báo cáo kết quả thực hiện một số nội dung theo Văn bản số 2624-CV/TU ngày 09/01/2017 của Thường trực Tỉnh ủy.,2017-01-16T00:00:00,Thường,8
629250,V/v triển khai Thông tư số 196/2016/TT-BTC ngày 08/11/2016 của Bộ Tài chính.,2017-01-11T00:00:00,Thường,8
629251,Triển khai Quyết định số 2660/QD-BTC ngày 14/12/2016 của Bộ Tài chính.,2017-01-11T00:00:00,Thường,8
629252,triển khai thông tư số 319/2019/TT-BTC ngày 13/12/2016 của Bộ Tài chính,2017-01-11T00:00:00,Thường,8
629253,Giấy xác nhận kế hoạch bảo vệ môi trường (bà Ngô Thị Huệ),2017-01-11T00:00:00,Thường,24
628707,"Hỗ trợ cung cấp danh sách hồ sơ phòng, đơn vị, huyện đã và sẽ trễ hạn",2017-04-04T00:00:00,Thường,24
628708,Mời họp triển khai Luật Thống kê năm 2015 và tập huấn nghiệp vụ tổng điều tra kinh tế năm 2017),2017-04-03T00:00:00,Thường,8
628709,Tập huấn phần mềm ĐHCV,2017-04-07T00:00:00,Thường,8
628710,"Tập trung thực hiện tốt các nhiệm vụ, giải pháp về công tác tiếp công dân, giải quyết khiếu nại tố cáo, phản ánh, kiến nghị của công dân trên địa bàn tỉnh",2017-04-04T00:00:00,Thường,8
628711,Trao đổi kinh nghiệm về xây dựng hệ thống chia sẻ thông tin đât đai,2017-04-07T00:00:00,Thường,8
628712,TB kết luận cuộc họp LĐS ngày 29/3/2017,2017-04-03T00:00:00,Thường,8
628713,BC tiếp thu giải trình các ý kiến góp ý KH và dự toán KP xác định và công bố vùng bảo hộ vệ sinh khu vực lấy nước sinh hoạt đối với công trình được cấp phép khai thác nước trên địa bàn tỉnh ĐN,2017-04-05T00:00:00,Thường,8
628714,Gửi hồ sơ tham gia xét tặng Giải thưởng Môi trường VN năm 2017,2017-04-04T00:00:00,Thường,8
628715,Viết bài Bản tin TNMT năm 2017,2017-04-07T00:00:00,Thường,8
628716,Mời tham gia đoàn trao đổi kinh nghiệm về xây dựng hệ thống chia sẻ thông tin đất đai tại Bình Dương,2017-04-07T00:00:00,Thường,8
628717,Triển khai hướng dẫn xác định và quản lý chi phí khảo sát xây dựng trên địa bàn tỉnh,2017-04-07T00:00:00,Thường,8
628718,Góp ý kiến trúc tổng thể CNTT ngành TNMT và các quy định vận hành hệ thống thông tin ngành TNMT,2016-12-13T00:00:00,Thường,8
628719,Cập nhật số liệu và lưu trữ báo cáo quản lý chất thải nguy hại năm 2015 và 2016,2017-04-05T00:00:00,Thường,8
628834,"Kế hoạch Thực hiện Đề án ""Phát triển chăn nuôi gia súc, gia cầm và nuôi trồng thủy sản bền vững đến năm 2015, tầm nhìn đến năm 2020"" giai đoạn 2016 - 2020 trên địa bàn tỉnh Đồng Nai.",2016-12-30T00:00:00,Thường,8
628835,"V/v phê duyệt kết quả thực hiện nhiệm vụ ""Xây dựng cơ sở dữ liệu môi trường, tài nguyên nước, khoáng sản, thanh tra - kiểm tra"".",2016-12-29T00:00:00,Thường,16
628836,"V/v triển khai ý kiến chỉ đạo của Thủ tướng Chính phủ tại kỳ họp thứ 2, QH khóa XIV.",2017-01-17T00:00:00,Thường,8
628837,"V/v góp ý dự thảo Quyết định bàn hành quy định mức trợ cấp xã hội, mức trợ giúp xã hôi cho các đối tượng bảo trợ xã hội trên địa bàn tỉnh Đồng Nai.",2017-01-20T00:00:00,Thường,8
628838,V/v xử lý kiến nghị về đất đai tại phường Tân Hiệp.,2017-01-20T00:00:00,Thường,8
628839,V/v kiện toàn Hội đồng quản lý Quỹ bảo vệ và phát triển rừng tỉnh ĐN,2017-01-19T00:00:00,Thường,16
628840,"V/v phê duyệt quy hoạch hệ thống chế biến bảo quản cà phê gắn với sản xuất và xuất khẩu đến năm 2020, định hướng đến năm 2030 trên địa bàn tỉnh Đồng Nai.",2016-12-30T00:00:00,Thường,16
628841,V/v nộp tiền cấp tiền khai thác khoáng sản 2017,2017-01-19T00:00:00,Thường,8
628842,Đơn xin ngưng cáp GCNQSDD,2017-01-23T00:00:00,Thường,29
628843,Đơn đề nghị v/v hủy bỏ hợp đồng chuyển nhượng QSDD và GCNQSDD,2017-01-23T00:00:00,Thường,29
628844,Đơn xin rút tên khỏi dnah sách gây ô nhiễm môi trường,2017-01-23T00:00:00,Thường,29
628845,Đơn xin xem xét giải quyết,2017-01-23T00:00:00,Thường,29
628846,Đơn đề nghị hỗ trpợ v/v dấu hiệu vi phạm pháp luật,2017-01-23T00:00:00,Thường,29
628847,Xin ý kiến hướng dẫn lập thủ tục môi trường,2017-01-23T00:00:00,Thường,8
629056,Đơn xin gia hạn thỏa thuận địa điểm..,2017-01-19T00:00:00,Thường,8
629057,Triển khai thực hiện Thô thông tư 193.2016,2017-01-19T00:00:00,Thường,8
629058,Cử thành viên tham gia hội đồng thẩm định các dự thảo NGHỊ QUYẾTDo UBND Tỉnh trình././,2017-01-19T00:00:00,Thường,8
629059,"Tuyên truyền phổ biến pháp luật về BHYT, BHXH...",2017-01-19T00:00:00,Thường,8
629060,Điều chỉnh tên dự án của Thông báo thu hồi đất 2095/TB-UBND.,2017-01-19T00:00:00,Thường,8
629061,"Đề nghị tạm ứng thanh toán chi phí dọn gom, vận chuyển xử lý rác tồn lưu...",2017-01-19T00:00:00,Thường,8
629062,Báo cáo kết quả kiểm tra tình hình sử dụng vốn vay các đơn vị vay vồn..,2017-01-19T00:00:00,Thường,8
629063,giải trinh quá trình tuân thủ luật pháp về môi trường..,2017-01-19T00:00:00,Thường,8
629064,Đầu tư 33 xe buýt B40 CNG phục vụ nội ô TP BH,2017-01-19T00:00:00,Thường,8
629065,Xin điều chỉnh tên công ty ghi tại các hợp đồng thuê đất..,2017-01-19T00:00:00,Thường,8
629066,Xin chấp thuận v/.v ko giám sát môi trường xung quanh,2017-01-19T00:00:00,Thường,8
629067,Thông báo lô hàng phế liệu nhập khẩu,2017-01-19T00:00:00,Thường,8
629068,giải trình chỉnh sửa bổ sung kế hoạch UPSCTD..,2017-01-19T00:00:00,Thường,8
629069,Xin chấp thuận v/.v ko giám sát môi trường xung quanh,2017-01-19T00:00:00,Thường,8
629070,Thông báo nộp tiền cấp quyền khai thác Khoáng sản,2017-01-19T00:00:00,Thường,18
629071,Thông báo về đơn giá thuê đất,2017-01-19T00:00:00,Thường,18
629072,Thông báo kết quả hội nghị tổng kết công tác dân vận..,2017-01-19T00:00:00,Thường,18
629073,Thông báo KL của Thường trực TU tại buồi khảo sát tình hình phát triển kinh tế tập thể..,2017-01-19T00:00:00,Thường,18
629254,V/v thỏa thuận địa điểm cho Công ty cổ phần đầu Kiến trúc xây dựng Toàn Thịnh Phát lập thủ tục đầu tư cơ sở hoạt động ngoại khóa cho học sinh  học tập các môn khoa học và sân chơi thể dục thể thao tại xã Quảng Tiến huyện Trảng Bom,2017-01-10T00:00:00,Thường,8
629255,Về việc cấp Giấy chứng nhận quyền sử dụng đất quyền sở hữu nhà ở và tài sản khác gắn liền với đất cho UBND thị trấn Trảng Bom huyện Trảng Bom,2017-01-10T00:00:00,Thường,17
629256,v/v góp ý kiến đối với phương án giá thực hiện xử lý rác thải sinh hoạt tồn lưu trên địa bàn huyện TRảng Bom,2017-01-10T00:00:00,Thường,8
629257,V/v địa điểm đầu tư Khu trung tâm thương mại - dịch vụ tại xã Phước Thiền của Công ty Cổ phần Xây dựng và phát triển Địa ốc Sài Gòn.,2017-01-12T00:00:00,Thường,8
629258,V/v địa điểm đầu tư dự án Khu đô thị thương mại - dịch vụ và dân cư tại xã Long Tân của Công ty TNHH Kinh doanh nhà Phú Thịnh.,2017-01-12T00:00:00,Thường,8
629259,V/v địa điểm đầu tư dự án Khu dân cư tại xã Long Tân của Công ty TNHH Kinh doanh nhà Khang Gia Sài Gòn.,2017-01-12T00:00:00,Thường,8
629260,"V/v chỉnh lý ranh giới và diện tích dự án khu dân cư tại xã Phước Thiền, huyện Nhơn Trạch do Công ty TNHH Địa ốc Minh Khang làm chủ đầu tư",2017-01-12T00:00:00,Thường,8
629261,"V/v tình hình thực hiện công tác bồi thường, hỗ trợ và tái định cư dự án Khu dân cư 125ha tại xã Long Tân.",2017-01-12T00:00:00,Thường,5
629262,Kết quả thực hiện quy trình tiếp nhận và xử lý hồ sơ đo đạc tại Bộ phận tiếp nhận và trả kết quả huyện.,2017-01-13T00:00:00,Thường,5
629263,V/v địa điểm đầu tư dự án Khu dân cư tại xã Long Tân của Công ty Kinh doanh nhà Khang Gia Sài Gòn.,2017-01-13T00:00:00,Thường,8
628720,Triển khai VB 1711/UBD-HCTC ngày 28/2/2017 của UBND tỉnh,2017-03-25T00:00:00,Thường,8
628721,Rà soát các tồn tại trong CSDL địa chính,2017-03-31T00:00:00,Thường,8
628722,Thực hiện đánh giá lại cơ chế tự chủ của các đơn vị sự nghiệp công lập và đề xuất sử dụng nguồn thực hiện cải cách tiền lương còn dư lớn,2017-04-04T00:00:00,Thường,8
628723,Tham mưu báo cáo đánh giá kết thúc dự án ứng dụng và phát triển hệ thống VNTT..,2017-04-04T00:00:00,Thường,8
628724,Học tập kinh nghiệm..,2017-03-31T00:00:00,Thường,8
628725,Vv hướng dẫn truyền thông về trung tâm hành chính công tỉnh,2017-04-03T00:00:00,Thường,8
628726,V/v truyền thông về Trung tâm hành chính công tỉnh.,2017-03-30T00:00:00,Thường,8
628727,Giấy mời hội nghị sơ kết công tác quý I/2017,2017-04-03T00:00:00,Thường,10
628728,Giấy mời hội nghị sơ kết công tác quý I/2017,2017-04-03T00:00:00,Thường,10
628729,Kế hoạch kiểm tra công tác tài chính,2017-04-03T00:00:00,Thường,24
628730,"Quyết định phê duyệt kế hoạch và dự toán kinh phí nhiệm vụ ""Cập nhật dữ liệu cổng thông tin cơ sở dữ liệu Tài nguyên và Môi trường""",2017-04-04T00:00:00,Thường,16
628731,"Quyết định phê duyệt kế hoạch và dự toán kinh phí nhiệm vụ ""Duy trì hoạt động cổng thông tin điện tử sở Tài nguyên và Môi trường năm 2017""",2017-03-31T00:00:00,Thường,16
628732,"Quyết định phê duyệt Kế hoạch và dự toán kinh phí ""Thu thập dữ liệu tài nguyên và Môi trường trên địa bàn tỉnh Đồng Nai năm 2017""",2017-04-03T00:00:00,Thường,16
628733,Đăng ký tài khoản người dùng trên phần mềm QLĐĐ,2017-04-04T00:00:00,Thường,8
628848,Thỏa thuận địa điểm cho phòng NNPTNT lập dự án đầu tư xây dựng hệ thống cấp nước sạch tại xã Mã Đà..,2017-01-23T00:00:00,Thường,8
628849,Bổ sung thông tin để xác định đơn giá thuê đất,2017-01-23T00:00:00,Thường,8
628850,Liên quan đến khu đất tại xã Lộc An,2017-01-23T00:00:00,Thường,8
628851,Sao gửi cv 2045/CV-BTCTW..,2017-01-23T00:00:00,Thường,8
628852,Hướng dẫn 1 số nội dung về kiểm điểm tự phê bình và phê bình tập thể..,2017-01-23T00:00:00,Thường,8
628853,Kết quả kiểm tra hiệu quả hệ thống xử lý nước thải sinh hoạt..,2017-01-23T00:00:00,Thường,8
628854,Tham mưu xử lý kiến nghị của tập đoàn CNCS VN góp ý kiến về nội dung hợp tác toàn diện giữa tỉnh ĐN và tập đoàn CNCS VN,2017-01-23T00:00:00,Thường,8
628855,Triển khai Thông tư 245/2016,2017-01-23T00:00:00,Thường,8
628856,Góp ý đề án quản lý và khai thác quỹ đất công,2017-01-23T00:00:00,Thường,8
628857,Xin tiêu hủy giày,2017-01-23T00:00:00,Thường,8
628858,Xử lý kiến nghị của STP Tại công văn 71/STP.,2017-01-23T00:00:00,Thường,8
628859,"Trao đổi lần 2 việc Chùa Kỳ Quang, tp BH xin chuyển đổi mục đích SDD",2017-01-23T00:00:00,Thường,8
628860,Góp ý dự thảo cập nhật kế hoạch hành động ứng phó biến đổi khí hậu.,2017-01-23T00:00:00,Thường,8
628861,Triển khai thực hiện Luật Ngân sách 83/2015,2017-01-23T00:00:00,Thường,8
628862,Báo cáo năm chính thức về kết quả thực hiện công tác Cải cách thủ tục hành chính.,2017-01-23T00:00:00,Thường,8
628863,Phê duyệt đơn giá thuê đất tại Phối hợp xử lý An Bình,2017-01-23T00:00:00,Thường,8
628864,Trả lời QĐ 134/QĐ-CCCC,2017-01-23T00:00:00,Thường,8
628865,"Chuẩn bị nội dung tập huấn công tác thanh tra, kiểm tra ngành 2017",2017-01-23T00:00:00,Thường,8
628866,"Báo cáo kết quả thực hiện 2016, phương hướng nhiệm vụ 2017..",2017-01-23T00:00:00,Thường,8
629074,Thông báo KL giao ban công tác phối hợp 6 tháng cuối năm 2016 và chương trình phối họp 6 tháng đầu năm 2017..,2017-01-19T00:00:00,Thường,18
629075,"V/v điều chỉnh ranh giới, diện tích ghi tại Quyết định số 3144/QĐ-UBND ngày 29/9/2016 của UBND tỉnh Đồng Nai.",2016-12-19T00:00:00,Thường,16
629076,"V/v địa điểm đầu tư dự án điểm du lịch sinh thái tại xã Phước Thiền, huyện Nhơn Trạch.",2016-12-19T00:00:00,Thường,8
629077,"V/v cho Công ty TNHH Đồng Nai Long Châu chuyển mục đích sử dụng đất để đầu tư xây dựng Khu dân cư tại phường Tam Hiệp, Tp Biên Hòa, tỉnh Đồng Nai.",2016-12-19T00:00:00,Thường,16
629078,"V/v phê duyệt báo cáo đánh giá tác động môi trường dự án "" đầu tư xây dựng trang trại chăn nuôi heo nái với quy mô.. "" tại xã Xuân Tây, huyện Cẩm Mỹ, tỉnh Đồng Nai của Công ty TNHH Chăn nuôi Khôi Nguyên.",2016-12-29T00:00:00,Thường,16
629079,"V/v phê duyệt báo cáo đánh giá tác động môi trường dự án ""Khu dân cư thương mại Phước Thái .. "" tại xã Tam Phước, thành phố Biên Hòa, tỉnh Đồng Nai của Công ty cổ phần đầu tư và kinh doanh nhà Phước Thái.",2016-12-29T00:00:00,Thường,16
629080,"V/v phê duyệt báo cáo đánh giá tác động môi trường dự án ""xây dựng trang trại chăn gà thịt, diện tích .. "" tại xã Hưng Lộc, huyện Thống Nhất, tỉnh Đồng Nai của bà Huỳnh Kim Thủy.",2016-12-29T00:00:00,Thường,16
629081,"V/v cho Công ty cổ phần Phát triển Khu công nghiệp Sông Mây thuê đất để sử dụng vào mục đích xây dựng và kinh doanh hạ tầng kỹ thuật Khu công nghiệp Sông Mây te5i xã Bắc Sơn, huyện Trảng Bom, tỉnh Đồng Nai.",2016-12-29T00:00:00,Thường,16
629082,V/v bổ sung một số nội dung đăng ký các nhiệm vụ bảo vệ môi trường năm 2017,2016-12-27T00:00:00,Thường,8
629264,Kết luận của ông Lê Thành Mỹ - Phó Chủ tịch UBND huyện tại cuộc họp rà soát tiến độ thực hiện dự án nuôi tôm siêu thâm canh.,2017-01-12T00:00:00,Thường,18
629265,"v/v thỏa thuận địa điểm cho Ban quản lý dự án huyện lập thủ tục đầu tư xây dựng trường THCS phía Bắc, thị trấn Trảng Bom",2017-01-13T00:00:00,Thường,8
629266,v/v thỏa thuận địa điểm cho Ban quản lý dự án huyện lập thủ tục đầu tư xây dựng trường tiểu học Diên Hồng xã Bắc Sơn,2017-01-13T00:00:00,Thường,8
629267,"Thu hồi đất, điều tra, khảo sát,đo đạc, kiểm đếm thực hiện đầu tư xây dựng trường tiểu học Phú Sơn (phân hiệu 2 trường tiểu học Diên Hồng) xã Bắc Sơn",2017-01-13T00:00:00,Thường,24
629268,"Ban hành thông báo thu hồi đất để đầu tư xây dựng dựng trường THCS phía Bắc, thị trấn Trảng Bom",2017-01-13T00:00:00,Thường,8
629269,"Thu hồi đất, điều tra, khảo sát, đo đạc, kiểm đếm để thực hiện đầu tư xây dựng dựng trường THCS phía Bắc, thị trấn Trảng Bom",2017-01-13T00:00:00,Thường,24
629270,128/UBND-NL: Về việc góp ý phương án sử dụng đất của công ty TNHH MTV Cao su Công nghiệp,2017-01-12T00:00:00,Thường,8
629271,(VB đi) 12/TB-UBND: vv điều chỉnh nội dung bản can kết bảo vệ môi trường của công ty giày Dona standard,2017-01-12T00:00:00,Thường,18
629272,(VB đi) 111/UBND-NL: Vv gia hạn hiệu lực văn bản thỏa thuận địa điểm của ông Nguyễn Đại Lâm,2017-01-11T00:00:00,Thường,8
629273,"(VB đi) 119/UBND-KT: V/v kết quả rà soát, kê khai hiện trạng sử dụng đất của trường TH Xuân Hòa (phân hiệu B) tại xã XUân Hòa",2017-01-11T00:00:00,Thường,8
629274,(VB đi) 117/UBND-KT: V/v xác nhận kết quả rà soát hiện trạng sử dụng đất trụ sở nhà văn hóa ấp 2 tại xã XUân Hòa,2017-01-11T00:00:00,Thường,8
628734,"Lấy ý kiến thông qua đề cương dự án ""Lập quản lý hành lang bảo vệ nguồn nước trên địa bàn tỉnh Đồng Nai""",2017-04-05T00:00:00,Thường,8
628735,Triển khai thực hiện Kế hoạch số 94/KH-STNMT ngày 15/3/2017,2017-04-03T00:00:00,Thường,8
628736,Giấy mời tham dự hội nghị sơ kết công tác quý I/2017,2017-04-03T00:00:00,Thường,10
628737,"Ban hành Quy định về tiêu chí đánh giá, xếp hạng kết quả ứng dụng công nghệ thông tin trong hoạt động của các cơ quan nhà nước trên địa bàn tỉnh Đồng Nai.",2017-03-24T00:00:00,Thường,16
628738,Thông báo nghỉ và trực cơ quan nhân ngày Giỗ Tổ Hùng Vương (ngày 10 tháng 3 âm lịch),2017-04-03T00:00:00,Thường,18
628739,Thông báo lịch làm việc của Lãnh đạo sở từ ngày 03/4/2017 đến ngày 7/4/2017,2017-04-03T00:00:00,Thường,18
628740,Cung cấp thông tin tài khoản PM QLĐĐ,2017-03-27T00:00:00,Thường,8
628741,"Tình hình xử lý tài liệu lưu trữ tồn đọng, tích đống tại STNMT",2017-03-29T00:00:00,Thường,8
628742,"V/v phê duyệt kế hoạch và dự toán kinh phí ""Thu nhập dữ liệu tài nguyên và môi trường trên địa bàn tỉnh Đồng nai năm 2017"".",2017-03-29T00:00:00,Thường,16
628743,Cung cấp thông tin để thông báo các văn bản trễ hạn qua email và tin nhắn SMS,2017-03-30T00:00:00,Thường,8
628744,Cung cấp thông tin tài khoản người dùng sử dụng phần mềm QLĐĐ cho VPĐK tỉnh,2017-03-30T00:00:00,Thường,8
629296,V/v phê duyệt lập kế hoạch sử dụng đất năm 2017 huyện Tân Phú.,2016-12-30T00:00:00,Thường,16
629297,V/v phê duyệt lập kế hoạch sử dụng đất năm 2017 huyện Long Thành.,2016-12-30T00:00:00,Thường,16
628868,Thay đổi địa chỉ trụ sở chính công ty,2017-01-23T00:00:00,Thường,8
628869,Tờ trình v/v thẩm định đề cương và dự toán kinh phí lâp6 phương án SDD đối với diện tích đất Quốc phòng..,2017-01-23T00:00:00,Thường,17
628870,"Thông báo kết luận của đ/CCQLDD đề xuất xử lý Trần Văn Vĩnh PCT UBND Tỉnh tại buổi họp rà soát, xử lý v/v doanh nghiệp FDI nhỏ và vừa..",2017-01-23T00:00:00,Thường,18
628871,Thông báo nộp tiền cấp quyển khai thác khoáng sản,2017-01-23T00:00:00,Thường,18
628872,Thông báo lô hag phế liệu nhập khẩu,2017-01-23T00:00:00,Thường,18
628873,Tổ chức khởi công triển khai thi công công trình dự án xã hội hóa nạo vét thông luồng rạch Cái Lăng,2017-01-23T00:00:00,Thường,18
628874,"lấy ý kiến thẩm đinh chấp thuận chủ trương đầu tư dự án khu dân cư mật độ thấp Giang Điền (phần dân cư Khu B, Khu C) thuộc dự án Khu dân cư mật độ thấp và du lịch sinh thái thác Giang Điền tại xã Giang Điền huyện Trảng Bom",2017-01-19T00:00:00,Thường,8
628875,V/v góp ý dự thảo cập nhật kế hoạch hành động ứng phó với biến đổi khí hậu đến 2020,2017-01-19T00:00:00,Thường,8
628876,Báo cáo kết quả họp về đầu tư xây dựng trụ sở làm việc của Ban Quản lý dự án đầu tư xây dựng tỉnh Đồng Nai,2017-01-18T00:00:00,Thường,5
628877,"V/v xin ý kiến cấp quyết định chủ trương đầu tư dự án chăn nuôi gà đẻ trứng thương phẩm sản xuất trứng gà sạch tại xã Xuân Hòa, huyện Xuân Lộc",2017-01-19T00:00:00,Thường,8
628878,xin ý kiến cấp GCN QSDĐ của giáo xứ Phương Lâm huyện Tân Phú,2017-01-19T00:00:00,Thường,8
628867,Tổng hợp tình hình tiến độ SDD các dự án xây dựng nhà ở,2017-01-23T00:00:00,Thường,8
629083,"V/v phê duyệt ""Đề án tổng thể phân loại chất thải rắn sinh hoạt tại nguồn trên địa bàn tỉnh Đồng Nai giai đoạn 2016 - 2020"".",2016-12-29T00:00:00,Thường,16
629084,V/v báo cáo tình hình thực hiện Quý IV/2016 về Chỉ thị số 16/CT-TTg ngày 29/7/2013 của Thủ tướng Chính phủ.,2016-12-21T00:00:00,Thường,8
629085,"V/v  duyệt nhiệm vụ Điều chỉnh tổng thể Quy hoạch chung xây dựng thị xã Long Khánh, tỉnh Đồng Nai đến năm 2030 và tầm nhìn đến năm 2050",2016-12-22T00:00:00,Thường,16
629086,Vv tham mưu báo cáo việc thực hiện đầu tư các cụm công nghiệp và thực hiện chính sách hỗ trợ phát triển cụm công nghiệp,2016-12-21T00:00:00,Thường,17
629087,V/v hủy bỏ quyết định xử phạt vị phạm hàn chính đối với ông Trần Huy Thơ,2016-12-21T00:00:00,Thường,8
629088,"V/v Kiểm toán chi phí phát sinh thực hiện dự án "" Xử lý các bãi rác tạm trên địa bàn thị xã Long Khánh""",2016-12-30T00:00:00,Thường,8
629089,"V/v điều chỉnh phương án bồi thường, hỗ trợ tại Quyết định số 3156/QĐ-UBND ngày 10/10/2014 của UBND tỉnh ..",2016-12-30T00:00:00,Thường,16
629090,"Báo cáo kiểm điểm công tác chỉ đạo, điều hành năm 2016 và đề xuất nhiệm vụ, giải pháp công tác chỉ đạo, điều hành năm 2017.",2016-12-09T00:00:00,Thường,8
629091,"BC kết quả cuộc họp vv thống nhất hướng tuyến và các nội dung thỏa thuận liên quan dự án thành phần 1 Đầu tư xây dựng đường cao tốc đoạn Biên Hòa - Tân Thành - Cụm cảng Cái Mép, Thị Vải thuộc dự án đường cao tốc Biên Hòa - Vũng Tàu",2016-12-20T00:00:00,Thường,8
629275,(VB đi) 118/UBND-KT: V/v xác nhận kết quả rà soát hiện trạng sử dụng đấ xây dựng trung tâm VHTT- HTCĐ của UBND xã Xuân Hòa,2017-01-11T00:00:00,Thường,8
629276,"(VB đi) 116/UBND-KT: V/v kết quả rà soát, kê khai hiện trạng sử dụng đất Chợ Xuân Hòa tại xã XUân Hòa",2017-01-11T00:00:00,Thường,8
629277,(VB đi) 110/UBND-KT: Về việc thỏa thuận địa cho ông Nguyễn Xuân Cửu lập dự án đầu tư xây dựng hệ thống chuồng trại chăn nuôi heo nái và heo thịt tại xã Xuân Phú.,2017-01-11T00:00:00,Thường,8
629278,"V/v xin ý kiến giải quyết kiến nghị của Cty TNHH Gia Lộc, tại Cụm công nghiệp Thạnh Phú - Thiện Tân, huyện Vĩnh Cửu",2017-01-13T00:00:00,Thường,8
629279,"V/v có ý kiến TTĐĐ đầu tư Điểm du lịch sinh thái Đồi Mồ Côi tại xã Phú Hội - xã Long Tân, huyện Nhơn Trạch (lần 1)",2017-01-13T00:00:00,Thường,8
629280,V/v xử lý kiến nghị của cty Điện lực Đồng Nai về triển khai dự án đầu tư xây dựng các công trình lưới điện thuộc Chương trình hỗ trợ chính sách cải cách ngành điện gđ 4 vay vốn ODA,2017-01-12T00:00:00,Thường,8
629281,"v/v góp ý quy chế phối hợp thực hiện cập nhật thông tin giữa hồ sơ quy hoạch chuyên ngành với quy hoạch, kế hoạch sử dụng đất",2017-01-13T00:00:00,Thường,8
629282,khảo sát hiện trạng và nhu cầu sử dụng Trung tâm dừ liệu tỉnh Đồng Nai giai đoạn 02.,2017-01-13T00:00:00,Thường,8
629283,"V/v giới thiệu chức danh và chữ ký của 02 Phó Chủ tịch UBND huyện Định Quán, nhiệm kỳ 2016-2021",2017-01-12T00:00:00,Thường,18
629284,"V/v xin ý kiến cấp Quyết định chủ trương đầu tư đối với dự án Nhà máy chế biến, sản xuất đồ gỗ gia dụng và ván ép, vener của Cty TNHH Gia Phúc, tại huyện Vĩnh Cửu",2017-01-13T00:00:00,Thường,8
629298,V/v phê duyệt lập kế hoạch sử dụng đất năm 2017 huyện Vĩnh Cửu.,2016-12-30T00:00:00,Thường,16
